Alice,Smith,456 Oak Ave.,Springfield, IL, 62701
Bob,Jones,789 Maple Dr.,Austin, TX,78701
"Robert ""Bobby""",Miller,101 Pine St.,Denver, CO, 80202
Eleanor,Rigby,"123 Penny ""Lane"" Blvd",Liverpool, NY, 13088
,Davis,,Seattle, WA, 98101
"Mary ""MJ"", Jane",Watson,"Apartment 5B, 42 Webb Rd",New York,NY,10001
David,"Williamson ""Jr.""",888 Cedar Rd.,Atlanta, GA,30303
Sarah,Connor,"Terminal 2, 900 Sky Way",Los Angeles, CA, 90001
,Smith,,Chicago,IL, 60601
"James ""Jim"", Sr.",Halpert,"1725 Slough ""Business Park"" Ln",Scranton,PA,18503
